Date,Open,High,Low,Close,Close Change %,Volume,Weekday,High % Above Open,
"Thursday, November 29, 2018","2,736.97","2,753.75","2,722.94","2,737.76",-0.22%,"2,102,760,317",Thursday,0.613086735,
"Wednesday, November 28, 2018","2,691.45","2,744.00","2,684.38","2,743.79",2.30%,"2,464,243,924",Wednesday,1.952479147,
"Tuesday, November 27, 2018","2,663.75","2,682.53","2,655.89","2,682.17",0.33%,"2,164,783,700",Tuesday,0.705021117,
"Monday, November 26, 2018","2,649.97","2,674.35","2,649.97","2,673.45",1.55%,"2,223,763,990",Monday,0.920010415,
"Friday, November 23, 2018","2,633.36","2,647.55","2,631.09","2,632.56",-0.66%,"996,600,641",Friday,0.538855303,
"Wednesday, November 21, 2018","2,657.74","2,670.73","2,649.82","2,649.93",0.30%,"2,052,551,182",Wednesday,0.488761128,
"Tuesday, November 20, 2018","2,654.60","2,669.44","2,631.52","2,641.89",-1.82%,"2,887,815,867",Tuesday,0.559029609,
"Monday, November 19, 2018","2,730.74","2,733.16","2,681.09","2,690.73",-1.66%,"2,528,464,111",Monday,0.088620667,
"Friday, November 16, 2018","2,718.54","2,746.75","2,712.16","2,736.27",0.22%,"2,693,966,897",Friday,1.037689348,
"Thursday, November 15, 2018","2,693.52","2,735.38","2,670.75","2,730.20",1.06%,"2,723,521,940",Thursday,1.554100211,
"Wednesday, November 14, 2018","2,737.90","2,746.80","2,685.75","2,701.58",-0.76%,"2,669,619,740",Wednesday,0.325066657,
"Tuesday, November 13, 2018","2,730.05","2,754.60","2,714.98","2,722.18",-0.15%,"2,355,351,203",Tuesday,0.899250929,
"Monday, November 12, 2018","2,773.93","2,775.99","2,722.00","2,726.22",-1.97%,"2,439,374,452",Monday,0.074262869,
"Friday, November 09, 2018","2,794.10","2,794.10","2,764.24","2,781.01",-0.92%,"2,507,593,534",Friday,0,
"Thursday, November 08, 2018","2,806.38","2,814.75","2,794.99","2,806.83",-0.25%,"2,264,117,515",Thursday,0.29824899,
"Wednesday, November 07, 2018","2,774.13","2,815.15","2,774.13","2,813.89",2.12%,"2,449,056,045",Wednesday,1.478661779,
"Tuesday, November 06, 2018","2,738.40","2,756.82","2,737.08","2,755.45",0.63%,"2,102,933,250",Tuesday,0.672655565,
"Monday, November 05, 2018","2,726.37","2,744.27","2,717.94","2,738.31",0.56%,"2,194,666,735",Monday,0.656550652,
"Friday, November 02, 2018","2,745.45","2,756.55","2,700.44","2,723.06",-0.63%,"2,848,403,388",Friday,0.404305305,
"Thursday, November 01, 2018","2,717.58","2,741.67","2,708.85","2,740.37",1.06%,"2,791,011,643",Thursday,0.886450445,
"Wednesday, October 31, 2018","2,705.60","2,736.69","2,705.60","2,711.74",1.09%,"3,254,301,594",Wednesday,1.149098167,
"Tuesday, October 30, 2018","2,640.68","2,685.43","2,635.34","2,682.63",1.57%,"3,337,205,289",Tuesday,1.69463926,
"Monday, October 29, 2018","2,682.65","2,706.85","2,603.54","2,641.25",-0.66%,"2,965,731,958",Monday,0.90209308,
"Friday, October 26, 2018","2,667.86","2,692.38","2,628.16","2,658.69",-1.73%,"3,296,391,591",Friday,0.919088708,
"Thursday, October 25, 2018","2,674.88","2,722.70","2,667.84","2,705.57",1.86%,"3,062,113,911",Thursday,1.787743749,
"Wednesday, October 24, 2018","2,737.87","2,742.59","2,651.89","2,656.10",-3.09%,"3,140,536,420",Wednesday,0.17239679,
"Tuesday, October 23, 2018","2,721.03","2,753.59","2,691.43","2,740.69",-0.55%,"2,810,569,394",Tuesday,1.196605697,
"Monday, October 22, 2018","2,773.94","2,778.94","2,749.22","2,755.88",-0.43%,"2,219,051,310",Monday,0.180249032,
"Friday, October 19, 2018","2,775.66","2,797.77","2,760.27","2,767.78",-0.04%,"2,467,481,149",Friday,0.796567303,
"Thursday, October 18, 2018","2,802.00","2,806.04","2,755.18","2,768.78",-1.44%,"2,330,696,322",Thursday,0.144182727,
"Wednesday, October 17, 2018","2,811.67","2,816.94","2,781.81","2,809.21",-0.03%,"2,120,418,821",Wednesday,0.187433091,
"Tuesday, October 16, 2018","2,767.05","2,813.46","2,766.91","2,809.92",2.15%,"2,137,274,737",Tuesday,1.677237491,
"Monday, October 15, 2018","2,763.83","2,775.99","2,749.03","2,750.79",-0.59%,"2,023,151,751",Monday,0.439969173,
"Friday, October 12, 2018","2,770.54","2,775.77","2,729.44","2,767.13",1.42%,"2,665,303,068",Friday,0.188771864,
"Thursday, October 11, 2018","2,776.87","2,795.14","2,710.51","2,728.37",-2.06%,"3,309,534,693",Thursday,0.657935013,
"Wednesday, October 10, 2018","2,873.90","2,874.02","2,784.86","2,785.68",-3.29%,"2,895,006,266",Wednesday,0.004175511,
"Tuesday, October 09, 2018","2,882.51","2,894.83","2,874.27","2,880.34",-0.14%,"2,136,559,731",Tuesday,0.427405282,
"Monday, October 08, 2018","2,877.53","2,889.45","2,862.08","2,884.43",-0.04%,"2,013,126,777",Monday,0.414244161,
"Friday, October 05, 2018","2,902.54","2,909.64","2,869.29","2,885.57",-0.55%,"2,091,494,758",Friday,0.244613339,
"Thursday, October 04, 2018","2,919.35","2,919.78","2,883.92","2,901.61",-0.82%,"2,105,861,176",Thursday,0.014729306,
"Wednesday, October 03, 2018","2,931.69","2,939.86","2,921.36","2,925.51",0.07%,"2,101,579,719",Wednesday,0.278678851,
"Tuesday, October 02, 2018","2,923.80","2,931.42","2,919.37","2,923.43",-0.04%,"2,060,042,938",Tuesday,0.260619741,
"Monday, October 01, 2018","2,926.29","2,937.06","2,917.91","2,924.59",0.36%,"2,148,843,589",Monday,0.368042812,
"Friday, September 28, 2018","2,910.03","2,920.53","2,907.50","2,913.98",0.00%,"2,193,939,787",Friday,0.360821022,
"Thursday, September 27, 2018","2,911.65","2,927.22","2,909.27","2,914.00",0.28%,"1,803,057,925",Thursday,0.534748339,
"Wednesday, September 26, 2018","2,916.98","2,931.15","2,903.28","2,905.97",-0.33%,"2,053,174,998",Wednesday,0.485776385,
"Tuesday, September 25, 2018","2,921.75","2,923.95","2,913.70","2,915.56",-0.13%,"2,034,744,657",Tuesday,0.075297339,
"Monday, September 24, 2018","2,921.83","2,923.79","2,912.63","2,919.37",-0.35%,"2,105,481,492",Monday,0.067081247,
"Friday, September 21, 2018","2,936.76","2,940.91","2,927.11","2,929.67",-0.04%,"3,900,791,977",Friday,0.141312194,
"Thursday, September 20, 2018","2,919.73","2,934.80","2,919.73","2,930.75",0.78%,"2,102,348,032",Thursday,0.516143616,
"Wednesday, September 19, 2018","2,906.60","2,912.36","2,903.82","2,907.95",0.13%,"1,942,348,471",Wednesday,0.198169683,
"Tuesday, September 18, 2018","2,890.74","2,911.17","2,890.43","2,904.31",0.54%,"1,947,735,430",Tuesday,0.706739451,
"Monday, September 17, 2018","2,903.83","2,904.65","2,886.16","2,888.80",-0.56%,"1,855,645,865",Monday,0.028238568,
"Friday, September 14, 2018","2,906.38","2,908.30","2,895.77","2,904.98",0.03%,"1,896,515,785",Friday,0.066061561,
"Thursday, September 13, 2018","2,896.85","2,906.76","2,896.39","2,904.18",0.53%,"2,167,357,831",Thursday,0.342095725,
"Wednesday, September 12, 2018","2,888.29","2,894.65","2,879.20","2,888.92",0.04%,"2,063,572,613",Wednesday,0.220199495,
"Tuesday, September 11, 2018","2,871.57","2,892.52","2,866.78","2,887.89",0.37%,"1,880,844,233",Tuesday,0.729566056,
"Monday, September 10, 2018","2,881.39","2,886.93","2,875.94","2,877.13",0.19%,"1,762,586,061",Monday,0.192268315,
"Friday, September 07, 2018","2,868.26","2,883.81","2,864.12","2,871.68",-0.22%,"1,942,169,500",Friday,0.542140531,
"Thursday, September 06, 2018","2,888.64","2,892.05","2,867.29","2,878.05",-0.37%,"2,025,172,933",Thursday,0.118048632,
"Wednesday, September 05, 2018","2,891.59","2,894.21","2,876.92","2,888.60",-0.28%,"2,277,718,447",Wednesday,0.09060759,
"Tuesday, September 04, 2018","2,896.96","2,900.18","2,885.13","2,896.72",-0.17%,"1,952,726,439",Tuesday,0.111151,
"Friday, August 31, 2018","2,898.37","2,906.32","2,891.73","2,901.52",0.01%,"1,806,136,650",Friday,0.274292102,
"Thursday, August 30, 2018","2,908.94","2,912.46","2,895.22","2,901.13",-0.44%,"1,725,979,535",Thursday,0.121006277,
